Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
UMass Lowell,54.2,50.8,42.2,27.5,19.9,15.6,25.6,31.3,72.6,55.8,49.2,33.9,36.1,10.2,8.9,52.7,45.5,31.7,32,72.8,78.1,72.8
South Alabama,50.9,50.8,34.5,21.9,14.4,20.9,26.5,29.8,64.4,54.4,44.9,31.7,36.5,12.9,12.2,61.6,70.2,51.3,60.2,64.9,69.1,72.6
Butler,53.6,44.5,48.4,23.6,18.9,11.6,29.9,31,66.2,49.4,45.1,39.4,29,8.5,8.1,61.3,43,43.4,35.1,67.7,76.2,77.3
SIU Edwardsville,48.1,50.5,22.5,36.2,18.2,15.9,34.5,29.4,69.2,47.5,48.6,32.7,35.2,13.9,7.3,55.7,54.5,40.7,46.3,67.4,61.7,69.2
Northern Colorado,52.7,53.7,25.5,36.4,15,14.5,25,23.5,72.2,57.6,57.1,30.3,31.4,4.1,8.5,48.1,35.3,40.6,33.7,72.6,75.5,76
Iowa,58.1,50.1,25.5,22.1,13.7,21.7,26.3,33.6,73.9,58.6,55.1,38.2,27.7,13.4,7.7,61.3,47.9,42.6,37.1,72.1,67.8,67.1
Florida A&M,44.2,55.9,33,34.3,22.8,13.7,24.4,37.7,70.9,43,57.6,30.4,35.8,8,12.6,50,59.5,46.6,42.4,70.2,66.4,66.7
TCU,49.7,46.9,35.5,27.8,16.7,21.3,31.4,29.3,68.5,50,49.5,32.7,28.9,12.5,6.7,57,57.9,37.2,42.4,69,60.5,74.2
Middle Tennessee,51.1,47.5,32.9,37.5,17,15.9,33.5,30.7,70.3,53.2,51.2,31.4,27.6,10.5,8.8,42.1,52.6,34.8,37.1,70.1,73.2,73.7
Oregon,52.5,46,39.2,25.1,16.7,19.6,35.1,31.4,69.4,53.2,46.8,34.1,30,11.3,9.2,59.7,49.6,38,40.9,69.6,74.4,70.6
Harvard,49.1,51,25.1,23.7,18.9,17.2,25.7,30.4,67.9,52.3,52,29.9,32.9,8,10.8,54.1,51.9,42,37.6,68.5,74.3,77.5
Florida,54.7,43.9,32.3,26.6,15.2,18.7,40.3,28.5,71.6,58.2,44.5,33.6,28.5,12.9,8.1,50.6,39.7,44.8,34.4,70.8,72.7,73.6
Saint Joseph's,52.6,47.4,31.6,25.3,17.3,18.2,28.7,28.5,70,53.6,46.8,34.3,32.2,13.8,7.1,61.8,52,43.6,36.5,70.9,74.1,78
Saint Mary's,50.5,45.2,37.5,29.6,16.6,17.4,40.7,28.9,65.9,51.5,44.1,32.3,31.6,11,8.7,55.9,50.4,32.9,33,64.6,67.3,75.1
Texas A&M Corpus Chr,54.9,51.3,40.5,45.5,17.8,20.6,30.9,34.9,71.1,55.3,54.2,36,30.8,11.8,11.3,52.9,53.2,28.8,36.6,70.8,59.7,65.2
Ohio St.,57.1,44.2,34,35.5,15.7,16.4,28.2,28.6,69.8,54.9,45.1,40.6,28.5,10.8,10.7,52.4,41.3,37.8,39.8,69.1,68.9,75.6
Florida St.,51.6,45.1,45.3,41.5,18.6,22.7,31.7,31.8,72.3,53.5,49.5,31.9,26.5,17,8.1,51.7,46.4,34.2,45.5,72,70.8,69.9
Seton Hall,46.5,49.8,34.8,32.7,19.9,21.9,32.4,25.5,63.2,43.3,50.3,35.4,32.7,11.4,8.8,52.1,52.4,32.6,46.2,63.5,60.5,71.1
North Carolina,52.6,49.5,37.5,27.9,14.2,15.8,28.6,28.4,75.6,55.9,48,31.3,34.3,9.6,8.2,46.7,49,37.1,41.4,75.3,75,75
Houston Christian,47.4,56.2,31.1,30.3,16.9,18.4,26.5,30.7,65.9,49.7,60.2,29.7,32.1,7,12.2,44,44.4,43.4,33.5,65.7,70.1,75.8
Lehigh,51.2,54,30.2,33.9,14.9,11.9,18.8,33.6,67.2,50.5,54.3,34.9,35.7,3.5,10.5,55.8,49.8,38.5,35.3,68.1,65.9,72.6
Navy,45.5,53.7,31,40.9,15.8,18.4,34.4,32,68.4,45.4,54.6,30.4,34.9,7.4,12.8,53.5,49.2,40.9,39.3,69.9,75,75.3
